,interval_start_local,interval_end_local,market,location,location_type,lmp,energy,congestion,loss
0,2022-01-01 00:00:00-08:00,2022-01-01 01:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,59.57375,59.97558,0.0,-0.40184
1,2022-01-01 01:00:00-08:00,2022-01-01 02:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,61.73845,62.34318,0.0,-0.60473
2,2022-01-01 02:00:00-08:00,2022-01-01 03:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,57.97451,58.95913,0.0,-0.98462
3,2022-01-01 03:00:00-08:00,2022-01-01 04:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,58.82423,59.7868,0.0,-0.96257
4,2022-01-01 04:00:00-08:00,2022-01-01 05:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,60.93695,61.85864,0.0,-0.92169
5,2022-01-01 05:00:00-08:00,2022-01-01 06:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,75.63289,76.61355,0.0,-0.98065
6,2022-01-01 06:00:00-08:00,2022-01-01 07:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,83.72587,84.4692,0.0,-0.74333
7,2022-01-01 07:00:00-08:00,2022-01-01 08:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,77.04197,77.44468,0.0,-0.40271
8,2022-01-01 08:00:00-08:00,2022-01-01 09:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,56.42938,55.2904,0.0,1.13898
9,2022-01-01 09:00:00-08:00,2022-01-01 10:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,42.45601,40.99653,0.0,1.45948
10,2022-01-01 10:00:00-08:00,2022-01-01 11:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,40.75,37.26009,1.93617,1.55375
11,2022-01-01 11:00:00-08:00,2022-01-01 12:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,29.80444,28.66638,0.0,1.13806
12,2022-01-01 12:00:00-08:00,2022-01-01 13:00:00-08:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,28.8583,27.80451,0.0,1.05379
