,interval_start_local,interval_end_local,net_load,renewables,renewables_to_load_ratio,primary_power_source,load.load,load_forecast.publish_time_local,load_forecast.load_forecast,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other,storage.supply,storage.stand_alone_batteries,storage.hybrid_batteries,battery_discharge_to_load_ratio,battery_charge_to_load_ratio
0,2021-12-31 00:00:00-08:00,2021-12-31 00:05:00-08:00,20604,4784,0.21140079540433054,natural_gas,22630,2021-12-29 09:10:00-08:00,23212.809999999998,-46,2072,839,278,213,182,19,2265,8795,1246,-107,8508,0,,,,-0.004728236853733981,0.00470598583806131
1,2021-12-31 00:05:00-08:00,2021-12-31 00:10:00-08:00,20574,4774,0.21112683530868565,natural_gas,22612,2021-12-29 09:10:00-08:00,23094.251666666667,-45,2083,839,277,212,183,18,2265,8669,1225,8,8545,0,,,,0.0003537944454272068,-0.00035391966023712616
2,2021-12-31 00:10:00-08:00,2021-12-31 00:15:00-08:00,20467,4756,0.21103074943426364,natural_gas,22537,2021-12-29 09:10:00-08:00,22975.693333333333,-44,2114,839,276,212,186,18,2265,8580,1173,55,8485,0,,,,0.0024404312907662954,-0.0024464015656970022
3,2021-12-31 00:15:00-08:00,2021-12-31 00:20:00-08:00,20338,4715,0.2102845419677103,imports,22422,2021-12-29 09:10:00-08:00,22857.135,-44,2128,840,278,212,186,18,2266,8419,1115,126,8517,0,,,,0.00561948086700562,-0.005651237890204521
4,2021-12-31 00:20:00-08:00,2021-12-31 00:25:00-08:00,20228,4795,0.21482974910394265,imports,22320,2021-12-29 09:10:00-08:00,22738.576666666668,-44,2136,840,278,213,185,18,2265,8209,1187,37,8618,0,,,,0.001657706093189964,-0.0016604586456042724
5,2021-12-31 00:25:00-08:00,2021-12-31 00:30:00-08:00,20132,4836,0.2176025917926566,imports,22224,2021-12-29 09:10:00-08:00,22620.018333333333,-44,2136,840,278,212,185,18,2265,8131,1229,0,8621,0,,,,0.0,-0.0
6,2021-12-31 00:30:00-08:00,2021-12-31 00:35:00-08:00,20027,4837,0.2185227016037949,imports,22135,2021-12-30 09:10:00-08:00,22501.46,-44,2152,840,279,212,185,18,2265,8011,1213,-3,8650,0,,,,-0.0001355319629545968,0.00013551359653085192
7,2021-12-31 00:35:00-08:00,2021-12-31 00:40:00-08:00,19897,4823,0.21882940108892923,imports,22040,2021-12-30 09:10:00-08:00,22428.10583333333,-41,2184,840,278,212,185,18,2266,7875,1165,-1,8699,0,,,,-4.537205081669691e-05,4.536999228710131e-05
8,2021-12-31 00:40:00-08:00,2021-12-31 00:45:00-08:00,19791,4820,0.2196300009113278,imports,21946,2021-12-30 09:10:00-08:00,22354.751666666667,-40,2195,840,278,212,185,18,2265,7781,1150,-3,8719,0,,,,-0.0001366991706916978,0.00013668048658253224
9,2021-12-31 00:45:00-08:00,2021-12-31 00:50:00-08:00,19718,4840,0.22117625554083079,imports,21883,2021-12-30 09:10:00-08:00,22281.3975,-40,2205,849,277,212,186,18,2266,7742,1151,-7,8689,0,,,,-0.00031988301421194534,0.00031978072179077204
10,2021-12-31 00:50:00-08:00,2021-12-31 00:55:00-08:00,19614,4865,0.22307304323902977,imports,21809,2021-12-30 09:10:00-08:00,22208.04333333333,-40,2235,859,278,212,186,18,2265,7687,1135,-12,8633,0,,,,-0.000550231555779724,0.0005499289675083636
11,2021-12-31 00:55:00-08:00,2021-12-31 01:00:00-08:00,19513,4862,0.22385929370597174,imports,21719,2021-12-30 09:10:00-08:00,22134.689166666667,-40,2246,872,277,212,171,18,2265,7702,1124,-45,8568,0,,,,-0.0020719185966204708,0.0020676346259878697
12,2021-12-31 01:00:00-08:00,2021-12-31 01:05:00-08:00,19441,4816,0.22248914349071422,imports,21646,2021-12-30 09:10:00-08:00,22061.335,-40,2245,877,274,212,154,18,2266,7778,1094,-44,8515,0,,,,-0.002032708121592904,0.0020285846011987092
13,2021-12-31 01:05:00-08:00,2021-12-31 01:10:00-08:00,19352,4754,0.220429359669866,imports,21567,2021-12-30 09:10:00-08:00,21987.98083333333,-40,2255,884,274,209,143,18,2265,7939,1029,-18,8393,0,,,,-0.0008346084295451384,0.0008339124391938846
14,2021-12-31 01:10:00-08:00,2021-12-31 01:15:00-08:00,19270,4741,0.2205834457730424,imports,21493,2021-12-30 09:10:00-08:00,21914.626666666667,-40,2263,884,273,209,142,17,2265,8039,1010,-110,8337,0,,,,-0.005117945377564789,0.005091885386288941
15,2021-12-31 01:15:00-08:00,2021-12-31 01:20:00-08:00,19191,4793,0.22375239251202092,imports,21421,2021-12-30 09:10:00-08:00,21841.2725,-40,2270,885,276,209,142,17,2265,7933,1051,-166,8417,0,,,,-0.007749404789692358,0.007689813313568351
