,soc_bid_1,soc_bid_2,soc_bid_3,soc_bid_4,soc_bid_5
0,54.84896,54.57882,53.41806,53.959694,54.100975
1,54.91567,54.64643,53.487267,54.022144,54.15119
2,54.77608,54.50835,53.353096,53.88861,54.02112
3,54.80973,54.53761,53.377747,53.898182,54.010273
4,55.027412,54.75231,53.585743,54.103096,54.207123
5,54.918262,54.638325,53.467194,53.97636,54.074028
6,54.859703,54.582287,53.417187,53.91686,54.000313
7,54.898365,54.615265,53.443695,53.92751,53.990093
8,54.882896,54.59549,53.417442,53.90267,53.97046
9,55.126137,54.841553,53.66549,54.145622,54.198067
10,55.093586,54.813274,53.643738,54.125603,54.17872
11,55.005627,54.719177,53.54307,54.01543,54.06051
12,54.84797,54.5636,53.393425,53.860588,53.90043
13,54.816875,54.541298,53.384193,53.855766,53.895424
14,55.04737,54.76594,53.59718,54.06782,54.105522
15,55.144604,54.892952,53.76585,54.25346,54.28664
16,54.977394,54.734306,53.621826,54.112408,54.14729
17,54.97761,54.736122,53.62583,54.117226,54.152943
18,55.15733,54.924904,53.82491,54.322784,54.357857
19,55.471863,55.177307,53.98836,54.399757,54.33827
20,55.66076,55.32375,54.122852,54.45467,54.287178
21,55.95719,55.590935,54.41939,54.702232,54.47361
22,56.030937,55.630962,54.480743,54.70806,54.413948
23,56.055107,55.612713,54.49018,54.646473,54.271526
24,56.204967,55.69756,54.59315,54.646904,54.15086
25,56.26187,55.713306,54.614166,54.60424,54.032757
26,56.64876,56.03888,54.952995,54.84903,54.161133
27,56.705242,56.073364,55.024616,54.8796,54.144325
28,56.72941,56.059265,55.031586,54.823315,54.016
29,57.006184,56.301483,55.29313,55.030037,54.153603
30,57.100384,56.350414,55.350872,55.01709,54.05721
31,56.871502,56.092293,55.1073,54.723835,53.71174
32,56.835106,56.050373,55.08238,54.68673,53.661583
33,56.746387,55.950188,55.00248,54.583935,53.536236
34,56.664906,55.8495,54.90752,54.457115,53.376118
35,56.64162,55.781303,54.7501,54.302937,53.16919
36,56.441692,55.550556,54.444344,54.004234,52.84005
37,56.541706,55.604034,54.429047,53.97306,52.745525
38,56.457703,55.4909,54.270294,53.815144,52.551758
39,56.016712,55.081036,53.81958,53.4404,52.250145
40,55.36897,54.48111,53.18397,52.89557,51.808876
41,54.67567,53.80108,52.452415,52.22291,51.1851
42,54.307434,53.45205,52.047443,51.882576,50.89948
43,53.95112,53.11805,51.691895,51.56892,50.61422
44,53.7588,52.98567,51.570793,51.524017,50.640015
45,53.656624,52.87426,51.456734,51.432106,50.580578
46,53.61088,52.790733,51.34447,51.290943,50.393406
47,53.65102,52.85321,51.45044,51.433624,50.564648
48,53.327126,52.604168,51.305626,51.388985,50.624355
49,52.917564,52.358986,51.27848,51.548786,50.96014
50,52.68568,52.20288,51.226654,51.58845,51.08642
51,52.483105,52.085377,51.22251,51.677856,51.26156
52,52.40345,51.95802,51.022285,51.40371,50.924686
53,51.994476,51.58011,50.675114,51.096638,50.687187
54,51.710327,51.25791,50.297745,50.658566,50.202065
55,51.79497,51.236427,50.1273,50.36414,49.805977
56,51.817513,51.209637,50.022312,50.192562,49.58525
57,51.76753,51.19965,50.043274,50.231735,49.651947
58,51.847485,51.24607,50.010307,50.096703,49.42476
59,51.996796,51.331837,49.96102,49.9124,49.142414
60,52.00064,51.373474,50.030502,50.00128,49.260254
61,52.17331,51.43136,50.01407,49.85096,49.01437
62,52.370056,51.558235,50.165092,49.893715,48.980686
63,52.63093,51.782433,50.416355,50.07179,49.10579
64,53.04484,52.179726,50.84073,50.43518,49.425926
65,53.63332,52.73705,51.454407,50.952934,49.865177
66,54.138298,53.18919,51.950584,51.323254,50.12301
67,54.327667,53.254333,51.960503,51.252327,49.931416
68,55.005238,53.840645,52.508167,51.72466,50.289867
69,54.91558,53.64734,52.25474,51.423767,49.91238
70,55.05706,53.664257,52.19468,51.30459,49.693684
71,55.323895,53.783966,52.24826,51.27301,49.526817
72,55.467854,53.79189,52.18743,51.149536,49.29616
73,55.41693,53.574413,51.876453,50.762077,48.781376
74,55.06936,53.04824,51.27295,50.10408,48.04484
75,54.98873,52.803688,50.964252,49.74838,47.616535
76,54.772804,52.41208,50.483295,49.2158,47.008625
77,54.41609,51.88164,49.87525,48.54998,46.26494
78,53.80529,51.129406,49.03175,47.673653,45.346172
79,53.36727,50.578835,48.42503,47.030594,44.659435
80,52.60697,49.7566,47.590813,46.20877,43.85142
81,52.05378,49.15229,46.960503,45.58778,43.24044
82,51.59133,48.59134,46.36532,44.96919,42.59203
83,50.83689,47.770008,45.516254,44.122444,41.750828
84,50.005234,46.85652,44.542313,43.15496,40.792694
85,49.25648,46.015755,43.650887,42.282658,39.925953
86,48.1605,44.827503,42.349876,41.024498,38.674168
87,47.428925,44.076775,41.519604,40.237232,37.911488
88,46.43525,43.078033,40.462975,39.25683,36.991783
89,45.4795,42.22114,39.580967,38.484776,36.335957
90,44.896107,41.681973,38.967762,37.962524,35.872017
91,44.150852,41.035404,38.343838,37.435158,35.446514
92,43.27574,40.290928,37.61863,36.824818,34.972614
93,42.647778,39.81678,37.132523,36.461475,34.741096
94,41.80626,39.08955,36.38617,35.845478,34.26207
95,41.724285,39.187675,36.51812,36.07714,34.61824
96,42.699245,40.415012,37.80942,37.459885,36.098812
97,43.249866,41.199757,38.703014,38.43144,37.17994
98,44.000607,42.23458,39.906532,39.800907,38.71998
99,44.513992,43.178516,41.315582,41.54922,40.77673
100,42.816948,42.11607,41.054264,41.861687,41.62718
101,40.407295,39.915485,39.141598,40.192898,40.17504
102,38.952198,38.498447,37.760677,38.837986,38.864876
103,38.36455,37.951305,37.262844,38.34058,38.404087
104,37.99508,37.61196,37.02525,38.10254,38.212803
105,37.635723,37.231625,36.6388,37.73834,37.857094
106,36.94407,36.52623,35.937542,37.04629,37.177853
107,36.521915,36.08759,35.47954,36.59257,36.73156
108,35.27592,34.796745,34.19395,35.35557,35.52114
109,32.98898,32.45128,31.905878,33.149376,33.363476
110,30.544998,29.94099,29.418451,30.72965,30.992992
111,29.004803,28.347391,27.840937,29.213339,29.5495
112,28.224924,27.556076,27.02654,28.38384,28.729456
113,27.956415,27.271076,26.716923,28.078678,28.427876
114,27.994991,27.300024,26.733469,28.103806,28.452808
115,28.125666,27.427683,26.858438,28.235102,28.582645
116,28.186222,27.482016,26.905115,28.288418,28.635412
117,28.178116,27.461908,26.868982,28.261265,28.608673
118,28.655401,27.960001,27.334484,28.683136,28.981556
119,29.60583,28.942448,28.289862,29.589468,29.866037
120,29.929688,29.272287,28.613058,29.90592,30.176167
121,30.491358,29.85317,29.199549,30.477585,30.73672
122,30.961826,30.33431,29.656427,30.911463,31.15979
123,31.185202,30.569632,29.8922,31.13297,31.375935
124,30.98888,30.37384,29.690975,30.922485,31.167706
125,31.205944,30.602808,29.89646,31.097391,31.335293
126,31.450571,30.850094,30.1049,31.280893,31.511456
127,31.754932,31.182114,30.437283,31.600544,31.804422
128,32.140728,31.594494,30.874676,32.0333,32.219887
129,32.35093,31.83096,31.119904,32.261803,32.43055
130,32.82276,32.339314,31.637295,32.76208,32.90051
131,33.28403,32.835155,32.14234,33.244095,33.358753
132,32.925716,32.249374,31.360828,32.40241,32.393078
133,31.873407,30.903805,29.650074,30.586588,30.372763
134,30.764242,29.519022,27.890066,28.880188,28.688913
135,31.11343,30.025318,28.429764,29.171185,28.343372
